uniprot_id,gene_name,log2FoldChange,padj,direction,avg_ratio,ratio_count,description_clean
P73164,ssr2315,-1.3999103528226733,9.2977121816256e-18,Downregulated,,,
P73305,rpl18,-1.060967490160621,1.0508206365893777e-17,Downregulated,-0.1211392182333181,3.0,RL18_SYNY3 50S ribosomal protein L18
P73842,folC,1.1788950623359518,1.0863352494142561e-17,Upregulated,,,
Q6ZED1,sll7067,-1.2815829766617048,1.834608699730051e-17,Downregulated,,,
P74485,sll1863,-3.0433798075403256,4.4215597993530424e-17,Downregulated,,,
Q55846,sll0471,1.0716782471978992,6.127310589881497e-17,Upregulated,,,
P74809,ssl1263,-1.064579351113473,1.3894743071201255e-16,Downregulated,,,
P73664,sfsA,-1.1009979885378725,1.7365945400544312e-16,Downregulated,,,
Q55582,slr0364,2.3201489887130986,4.741278078037737e-16,Upregulated,,0.0,Q55582_SYNY3 Slr0364 protein
P74734,sll0572,-1.1510522488005122,6.680038845945094e-16,Downregulated,,,
P74238,slr1163,-1.0947317116572732,7.186268405648495e-16,Downregulated,,,
P74519,lipB,1.3402427946622657,1.0092139297493881e-15,Upregulated,,,
P73310,rpl14,-1.134745272854313,1.0993299968425344e-15,Downregulated,0.037234578471052,3.0,RL14_SYNY3 50S ribosomal protein L14
P74022,hoxU,1.2905709895042583,1.2302949740373592e-15,Upregulated,,,
P74635,p,1.1282857939714217,1.2631708830882084e-15,Upregulated,,,
P73593,slr1407,1.1397877203439628,1.4406713510415397e-15,Upregulated,,,
P72833,sll1193,-1.132166981811582,2.6195337709137552e-15,Downregulated,,,
Q55192,sll0687,1.8838900672624737,4.610657854572264e-15,Upregulated,,,
Q55942,sll0789,2.0207795573099214,6.9489006972029466e-15,Upregulated,,,
P72634,slr1119,1.0742979542353288,7.078725061508581e-15,Upregulated,,,
P74237,slr1162,-1.0162103723781146,8.158567749828728e-15,Downregulated,,,
Q6YRW4,slr6040,2.0077403370448437,1.0704935632284525e-14,Upregulated,,,
Q55151,slr0060,1.2426557918053458,1.801429964379351e-14,Upregulated,,,
P72606,slr1485,-1.6949870323966238,2.5952661874254615e-14,Downregulated,,,
Q6ZEK7,sll5123,2.537222196827457,2.7631364621002963e-14,Upregulated,,,
Q55565,slr0179,-1.391702924012804,5.0359004131013226e-14,Downregulated,,,
P73171,ssl2559,1.8273733718705611,5.4523111100380814e-14,Upregulated,,,
Q6YRU9,sll6055,1.3307243755315383,1.0815448396463468e-13,Upregulated,,,
Q55808,crtO,-1.1193718358824007,1.139353364373937e-13,Downregulated,,,
Q55980,sll0662,-1.0342421488917009,1.2334337375421345e-13,Downregulated,,,
P15729,glcP,-1.0163910212753315,1.5575130217813342e-13,Downregulated,,,
P72604,exbB,-1.8750669524048416,1.8550451608992834e-13,Downregulated,,,
P73111,sll1835,-1.3125844070396857,1.8725202302619685e-13,Downregulated,,0.0,P73111_SYNY3 Sll1835 protein
P73403,sll1722,1.0572692621689417,2.1007390437913878e-13,Upregulated,,,
Q6ZEB3,sll7085,-1.1298661127345482,5.407135611111812e-13,Downregulated,,,
P74691,ssl0832,1.1423167090133448,8.308394509408976e-13,Upregulated,,,
P72607,slr1488,-1.2005665971859198,1.868907615122898e-12,Downregulated,,,
P73105,amiA,1.0442815249005464,2.680130932840348e-12,Upregulated,,,
P74486,sll1862,-2.026178231639843,5.576578523979385e-12,Downregulated,,,
P72972,slr1594,1.0672936976100904,6.1206231316061035e-12,Upregulated,,,
P74578,nadA,-1.1588790320585525,6.767624317723691e-12,Downregulated,,,
Q6YRV0,sll6054,1.5839820675441318,2.2704643466889387e-11,Upregulated,,,
Q6ZEA9,sll7089,-1.119982717149406,2.6924478424717455e-11,Downregulated,,,
Q6YRT7,slr6008,1.2213993435469224,4.1280939492011337e-11,Upregulated,,,
Q55596,fabG,1.2583646921512206,4.4551016309139447e-11,Upregulated,,,
P73122,slr1920,-1.1839744712470444,1.0481752524965374e-10,Downregulated,,,
Q6ZEP0,sll5090,1.266433409691196,1.9964215166276035e-10,Upregulated,,,
Q55815,slr0498,1.1273186155787664,4.6323320828420975e-10,Upregulated,,,
P73570,slr0885,1.0128909627692584,4.66623485244014e-10,Upregulated,,,
Q6YRW3,slr6041,1.394671336625001,7.109197400909406e-10,Upregulated,,,
Q6ZEK8,sll5122,1.2857758250393123,8.409234500036096e-10,Upregulated,,,
Q6ZEN7,slr5093,1.0434381074262924,9.940324646576515e-10,Upregulated,,,
